Freq[GHz],Band_width[GHz],D(Pixel_Pich),P_CMB,P_HWP,P_APT,P_20K,P_m1,P_m2,P_2KF,P_Lens,P_Det,P_opt,    INTEG_P_CMB,INTEG_P_opt[p],NEP_ph[a],NEP_g[a],NEP_read[a],NEP_int[a],NEP_ext[a],NEP_det[a],dPdT_CMB,NET_det[u],NET_arr[u],sigma_s[u]
40.0,6.0,24.0,7.44697072143679e-24,2.136348522696588e-24,1.645885618030075e-23,2.0929339714205918e-24,1.7618131689215296e-26,1.7627098448960014e-26,1.533485198411984e-26,1.925291252590765e-24,1.2194784192626143e-31,3.0110980852515624e-23,8.88290564714286e-14,0.3616991016775392,6.3993249723918915,4.394655804908094,3.5574591419490806,8.539313514125594,4.830565194012907,9.810924288064655,4.55277273183085e-14,152.3768372028649,21.295310386376553,44.45278018236105
60.0,6.9,24.0,9.723347343395925e-24,2.464119133244239e-24,5.8486282927983616e-24,7.686961245772259e-25,1.9782592510438763e-26,1.9795153452717592e-26,1.7249162742236366e-26,1.7357598115041213e-24,1.2407789814185426e-35,2.0597377614237676e-23,1.334513896289483e-13,0.28514014022777867,5.865805527884802,3.9019376964904526,3.228449531653545,7.749559900838958,4.38381308567566,8.903566466693686,7.936442343973294e-14,79.32738565315834,11.086339174862726,23.14211858975985
78.0,8.97,24.0,9.55184109974657e-24,2.1832615003326466e-24,1.6730042683644335e-24,2.298531428050938e-25,2.0858917775921586e-26,2.0874310592991284e-26,1.7051291748853594e-26,1.5771089981655346e-24,2.8570900380904708e-39,1.5273853529532047e-23,1.7071711143221992e-13,0.27530119177775986,6.067773926612428,3.834027264440194,3.289180073008949,7.895337297521083,4.466277234265782,9.071051944231623,1.1514107363652558e-13,55.70733483439444,7.785336720940498,16.25145891853412
50.0,7.5,24.0,8.812246164788216e-24,2.7806362437739295e-24,1.0281822157154428e-23,1.3349810297746514e-24,1.8859749462942178e-26,1.8870576127674054e-26,1.6636380372279985e-26,1.828764721257031e-24,1.2554477886673244e-33,2.50928170239666e-23,1.3106194642197704e-13,0.3774827898882979,6.6296548892466545,4.489518125240739,3.6691552650370647,8.807428529731387,4.982233950551143,10.118964988789656,7.247651756195341e-14,98.72423514341897,13.797131300459908,28.800746911812237
68.0,7.82,24.0,9.889432316123429e-24,2.259036204188798e-24,3.481345871806878e-24,4.657524150706985e-25,2.034150375765547e-26,2.035536757012552e-26,1.7337584490872915e-26,1.663867923753389e-24,3.024291933063651e-37,1.781746918676215e-23,1.538924908251985e-13,0.2798165037748505,5.929693064504054,3.8653410067777383,3.2436777578791727,7.786113686227878,4.404491029296895,8.945563568720637,9.688132620370851e-14,65.29089669641168,9.124680207818312,19.04726421700702
89.0,10.235,24.0,8.794619842598681e-24,2.380157087847391e-24,6.705520009268709e-25,9.062421611913483e-26,2.1236779929318092e-26,2.1253733637120532e-26,1.63500737072965e-26,1.4856086355068626e-24,1.661518990131575e-41,1.3480402370272675e-23,1.7969863906519071e-13,0.27715962185854637,6.331265891409674,3.8469463642854964,3.394940951571552,8.14920537120488,4.609886703408646,9.362724154878125,1.3038760488987859e-13,50.77511582396836,7.096038159238657,14.812586373950221
68.0,7.82,16.0,6.886975119590678e-24,1.5731869772886409e-24,1.148566664663813e-23,1.5990832917427315e-24,2.034150375765547e-26,2.035536757012552e-26,1.7337584490872915e-26,1.663867923753389e-24,3.024291933063651e-37,2.3266814414832527e-23,1.0714444573233797e-13,0.3645187326344949,7.054790386659304,4.411751855201305,3.813012009505119,9.152741797745795,5.1775726333084835,10.515699728947567,6.754074556186665e-14,110.09239719525033,10.257253497270288,21.411448188170482
89.0,10.235,16.0,7.26464420528872e-24,1.9660877565343613e-24,5.181756553571943e-24,7.70305837012646e-25,2.1236779929318092e-26,2.1253733637120532e-26,1.63500737072965e-26,1.4856086355068626e-24,1.661518990131575e-41,1.6727243575188272e-23,1.4786632913646395e-13,0.34391710950610455,7.2094594292573575,4.2852685364970755,3.843353308677192,9.225572954961633,5.218772157427669,10.599376357996812,1.0745662219157038e-13,69.74805969357807,6.498391782231405,13.565032685280633
119.0,17.85,16.0,6.185405988486776e-24,2.1271097691043585e-24,1.2049698567392932e-24,1.88720438631178e-25,2.151021900184024e-26,2.153083533130892e-26,1.329327918063059e-26,1.2564489123214046e-24,1.2410973314068964e-47,1.1018989298796791e-23,2.200439651264356e-13,0.39817729714311406,8.435222153309391,4.610939228218139,4.405324505847498,10.574526814180526,5.981855694516823,12.149206348311246,1.920460266703688e-13,44.732954614421224,4.1677469730107815,8.699940817273651
78.0,8.97,16.0,7.262683743638072e-24,1.6600294792380378e-24,8.046195812976779e-24,1.1492657140254689e-24,2.0858917775921586e-26,2.0874310592991284e-26,1.7051291748853594e-26,1.5771089981655346e-24,2.8570900380904708e-39,1.9754068268161662e-23,1.2953893151945213e-13,0.35544057783437016,7.121932602368479,4.356469263758635,3.825853783423783,9.1835671506714,5.1950100861774136,10.55111536314412,8.749984078806606e-14,85.26604340265645,7.944194550866137,16.583065834132263
